높다,to be high/ to be noble
짜다,to be salty/ to make/ build/ organize/ to squeeze
낮다,to be low
짧다,to be short
바나나,banana
언니,older sister (of a female)
오빠,older brother (of a female)
출발하다,to depart/ leave
고맙다,to be thankful/ grateful
처음,first/ at first/ first time
문화,culture
창문,window
오른쪽,right side
잘,well
함께,together/ in company with
남편,husband
시간,time/ hours
몸,body/ figure
밑,the bottom/ below
이번,this time
생활,life/ living/ livelihood
사이,relationship/ distance apart
그때,then/ at that time
서다,to stand/ to stop
넣다,to put in/ insert
얘기,story/ talk/ conversation
생기다,to occur/ happen/ to look/ to form
올라가다,to go up
사용하다,to use/ make use of
그래,yes/ okay
입,mouth
그림,drawing/ painting
아빠,dad
가을,autumn
부탁하다,to request/ ask a favor
죄송하다,to be sorry/ feel guilty
꼭,certainly/ for sure
그리다,to draw a picture
하지만,but/ though
잘하다,to do well/ be skillful
그렇게,so/ like that
발,foot
살,years of age (count.)/ flesh/ muscle
이유,reason/ cause
지내다,to spend time/ to pursue/ to associate with
예,example/ yes
아저씨,mister
건물,building
걸다,to hang/ suspend/ to speak to/ call
다리,leg/ bridge
주소,address/ residence
파랗다,to be blue
친절하다,to be kind/ considerate
돌아오다,to come back/ return
에어컨,air conditioner
전화하다,to make a phone call
안녕히,peacefully/ safely
기차,train
말씀하시다,to speak/ talk (hon.)
괜찮다,to be okay
귀,ear
남동생,younger brother
물어보다,to ask/ question
돌아가다,to go back/ return/ to work/ operate
아파트,apartment building
게임,game
내려오다,to come down/ get off
팔,arm
단어,word/ vocabulary
영화관,movie theater
들다,to get in/ be in/ to carry/ hold/ to lift/ raise
그릇,bowl/ container
드리다,to give/ offer (hon.)
근처,nearby
낮,daytime
가볍다,to be light (as opposed to heavy)
목,neck/ throat
코,nose
배고프다,to be hungry
교통,traffic
불다,to blow
축구,football (soccer)
차갑다,to be cold (regarding objects)
소개하다,to introduce/ recommend
박물관,museum
어서,please/ kindly/ quickly
또,again/ repeatedly/ also/ too
외국인,foreigner
지난달,last month
시계,clock/ watch
화,anger/ disaster/ misfortune
아주머니,middle aged woman/ aunt
못,not/ nail
다녀오다,to go and get back/ be back
이쪽,this side/ our side
내년,next year
안녕하다,to be well/ be in good health
계절,season
지갑,wallet/ purse
표,ticket/ table/ diagram/ mark/ sign
드라마,TV series
없다,to not exist/ to not have
파티,party (social gathering)
카드,card
도와주다,to help out/ assist
호텔,hotel
운동장,field/ (school) stadium/ playground
한복,Korean dress (traditional)
때,time/ when/ occasion/ dirt
안경,glasses/ eyeglasses
이,tooth/ this
신다,to put on/ wear (footwear)
불고기,marinated beef
피아노,piano
메뉴,menu
집,house/ home/ family
농구,basketball
콜라,coke
정류장,stop/ station (bus etc.)
가격,price
특히,especially/ particularly
휴지,toilet paper/ tissue/ pause
태권도,Taekwondo
전공하다,to major in/ specialize in
사귀다,to date/ go out/ to make friends with/ keep company with
끄다,to put out/ turn off
언제,when
너,you (informal)
알리다,to inform/ let know/ notify
일월,January
수영장,swimming pool
아르바이트,part-time job
동생,younger sibling/ younger friend
퇴근하다,to go home from work
피우다,to smoke/to bloom/ blossom/ to make a fire
갈아타다,to change vehicles/ transfer
특별하다,to be special/ extraordinary
무슨,which/what (+ noun)
주무시다,to sleep (hon.)
기간,period/ term
기쁘다,to be glad/ happy/ pleased
전화번호,phone number
등산,hiking/ mountain climbing
쇼핑,shopping
일,work/ matter/ day
갈비,barbecued spare ribs
음료수,beverage/ drink
제주도,Jeju Island
케이크,cake
잡수시다,to eat (hon.)
나,I (informal)
거실,living room
감사하다,to be thankful/ thank/ appreciate
무엇,what/ which/ something (the unshortened form of 뭐)
그,that (before nouns)
맛있다,to be delicious/ tasty
아니다,to not be
시,time/ hour/ o'clock/ poem
명,counter for people
권,counter for books
영국,United Kingdom
김치,kimchi (traditional Korean dish made of seasoned vegetables and other ingredients)
컵,cup
비빔밥,boiled rice with assorted mixtures
냉면,cold noodles
싱겁다,to be bland/ not salty enough
어떻다,to be the manner in which something is done
김밥,Korean dried seaweed rice rolls
한가하다,to be free/ have leisure/ have time to spare
남산,Namsan/ Mt. Nam (in Seoul)
그러니까,therefore/ consequently
하숙집,boarding house
들어가다,to enter/ go in
대학,university
생신,birthday (hon.)
부산,Busan
떡볶이,rice-stick with vegetables
시다,to be sour
노란색,yellow
하얀색,white
재미없다,to be boring/ dull
저기,over there
저쪽,that side/ over there
그쪽,that/ that way/ you
요일,day of the week
생각,thought/ idea
잡채,noodles with sauteed vegetables
남대문,the South Gate
삼계탕,chicken soup with ginseng
이거,this thing
오월,May
유월,June
이월,February
삼월,March
씨,Mr./ Ms./ seed/ kernel
사월,April
칠월,July
한국말,Korean language
팔월,August
구월,September
시월,October
십일월,November
십이월,December
지난주,last week
건강하다,to be healthy
대학생,college student
안내하다,to guide/ lead the way
티셔츠,T-shirt
중국,China
지하철역,subway station
김치찌개,kimchi stew
파란색,blue
일주일,one week
그런,such/ that kind of
이곳,this place/ here
맛없다,to be tasteless/ unsavory
갈비탕,beef rib soup
영화배우,movie actor
